2026-08-08T14:57:06.471885 - Starting polling fallback for Execution 91a31b6a-6329-4390-b307-281720ed60a1 (Lead: call_1786201025232)
2026-08-08T14:57:17.167178 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-08T14:57:27.719685 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-08T14:57:54.800520 - Poll 2: Status=busy, TranscriptLen=0
2026-08-08T14:58:05.180797 - Poll 3: Status=busy, TranscriptLen=0
2026-08-08T14:58:15.765279 - Poll 4: Status=busy, TranscriptLen=0
2026-08-08T14:58:27.567365 - Poll 5: Status=busy, TranscriptLen=0
2026-08-08T14:58:53.048247 - Polling error for call_1786201025232: HTTPSConnectionPool(host='api.bolna.ai', port=443): Read timed out. (read timeout=15)
2026-08-08T14:59:03.425483 - Poll 7: Status=busy, TranscriptLen=0
2026-08-08T14:59:14.182505 - Poll 8: Status=busy, TranscriptLen=0
2026-08-08T14:59:24.565208 - Poll 9: Status=busy, TranscriptLen=0
2026-08-08T14:59:35.063510 - Poll 10: Status=busy, TranscriptLen=0
2026-08-08T14:59:45.682463 - Poll 11: Status=busy, TranscriptLen=0
2026-08-08T14:59:56.053362 - Poll 12: Status=busy, TranscriptLen=0
2026-08-08T15:00:06.466911 - Poll 13: Status=busy, TranscriptLen=0
2026-08-08T15:00:16.863286 - Poll 14: Status=busy, TranscriptLen=0
2026-08-08T15:00:27.841094 - Poll 15: Status=busy, TranscriptLen=0
2026-08-08T15:00:38.223166 - Poll 16: Status=busy, TranscriptLen=0
2026-08-10T08:49:57.922334 - Starting polling fallback for Execution 64c662c1-7798-494d-b5d5-f1e672a2e4a5 (Lead: call_1786351796728)
2026-08-10T08:50:11.771203 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T08:50:25.968590 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T08:50:50.400422 - Poll 2: Status=busy, TranscriptLen=0
2026-08-10T08:51:00.843340 - Poll 3: Status=busy, TranscriptLen=0
2026-08-10T08:51:11.272564 - Poll 4: Status=busy, TranscriptLen=0
2026-08-10T08:51:21.678885 - Poll 5: Status=busy, TranscriptLen=0
2026-08-10T08:51:32.059318 - Poll 6: Status=busy, TranscriptLen=0
2026-08-10T08:51:42.456450 - Poll 7: Status=busy, TranscriptLen=0
2026-08-10T08:51:52.839811 - Poll 8: Status=busy, TranscriptLen=0
2026-08-10T08:52:03.504242 - Poll 9: Status=busy, TranscriptLen=0
2026-08-10T08:52:15.769377 - Poll 10: Status=busy, TranscriptLen=0
2026-08-10T08:52:26.192603 - Poll 11: Status=busy, TranscriptLen=0
2026-08-10T08:52:36.691759 - Poll 12: Status=busy, TranscriptLen=0
2026-08-10T08:52:47.276818 - Poll 13: Status=busy, TranscriptLen=0
2026-08-10T08:52:57.733358 - Poll 14: Status=busy, TranscriptLen=0
2026-08-10T08:53:08.122875 - Poll 15: Status=busy, TranscriptLen=0
2026-08-10T08:53:18.634721 - Poll 16: Status=busy, TranscriptLen=0
2026-08-10T08:53:29.011998 - Poll 17: Status=busy, TranscriptLen=0
2026-08-10T08:53:39.394940 - Poll 18: Status=busy, TranscriptLen=0
2026-08-10T08:53:49.739259 - Poll 19: Status=busy, TranscriptLen=0
2026-08-10T08:54:00.225492 - Poll 20: Status=busy, TranscriptLen=0
2026-08-10T08:54:10.641461 - Poll 21: Status=busy, TranscriptLen=0
2026-08-10T08:54:21.028943 - Poll 22: Status=busy, TranscriptLen=0
2026-08-10T08:54:31.449297 - Poll 23: Status=busy, TranscriptLen=0
2026-08-10T08:54:41.836502 - Poll 24: Status=busy, TranscriptLen=0
2026-08-10T08:54:52.317899 - Poll 25: Status=busy, TranscriptLen=0
2026-08-10T08:55:02.741171 - Poll 26: Status=busy, TranscriptLen=0
2026-08-10T08:55:13.176933 - Poll 27: Status=busy, TranscriptLen=0
2026-08-10T08:55:23.581607 - Poll 28: Status=busy, TranscriptLen=0
2026-08-10T09:04:48.063083 - Starting polling fallback for Execution 35eca2bc-064f-4db3-bc1b-20c33d5e2377 (Lead: call_1786352686851)
2026-08-10T09:04:58.676916 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T09:05:09.147867 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T09:05:19.580928 - Poll 2: Status=busy, TranscriptLen=0
2026-08-10T09:05:30.041466 - Poll 3: Status=busy, TranscriptLen=0
2026-08-10T09:06:05.561980 - Poll 4: Status=busy, TranscriptLen=0
2026-08-10T09:06:16.008696 - Poll 5: Status=busy, TranscriptLen=0
2026-08-10T09:06:26.384683 - Poll 6: Status=busy, TranscriptLen=0
2026-08-10T09:06:36.840336 - Poll 7: Status=busy, TranscriptLen=0
2026-08-10T09:06:47.257956 - Poll 8: Status=busy, TranscriptLen=0
2026-08-10T09:08:09.932769 - Starting polling fallback for Execution 183b35dc-3891-4246-901c-1bebb52930a9 (Lead: call_1786352888847)
2026-08-10T09:08:20.415932 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T09:08:30.881096 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T09:08:41.268700 - Poll 2: Status=busy, TranscriptLen=0
2026-08-10T09:08:51.703505 - Poll 3: Status=busy, TranscriptLen=0
